sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
1.450000000000000000e+02,9.515700488491903161e-04,9.549903193729144700e-04,2.697372574514734556e+00,2.700265056054766077e+00,2.892481540031521803e-03,3.594344449849629086e-03
1.460000000000000000e+02,9.427948248547517217e-04,9.461740730584859487e-04,2.694971130091159406e+00,2.697909825107784432e+00,2.938695016625025858e-03,3.584288028155802053e-03
1.470000000000000000e+02,9.341672760095813630e-04,9.375061253457450195e-04,2.692551962006013877e+00,2.695535151539982799e+00,2.983189533968921836e-03,3.574145040089682368e-03
1.480000000000000000e+02,9.256839817808645669e-04,9.289830477819314937e-04,2.690115434301300290e+00,2.693141386459962039e+00,3.025952158661748825e-03,3.563922532957786160e-03
1.490000000000000000e+02,9.173416221807017190e-04,9.206015125531691280e-04,2.687661904103933797e+00,2.690728875280396171e+00,3.066971176462374160e-03,3.553627453116048329e-03
1.500000000000000000e+02,9.091369741903680820e-04,9.123582889064038408e-04,2.685191721770954221e+00,2.688297957840530827e+00,3.106236069576606695e-03,3.543266644615794547e-03
1.510000000000000000e+02,9.010669083336892522e-04,9.042502397205960185e-04,2.682705231030610094e+00,2.685848968525402558e+00,3.143737494792464560e-03,3.532846847958959202e-03
1.520000000000000000e+02,8.931283853923855168e-04,8.962743182200302600e-04,2.680202769121805328e+00,2.683382236381740782e+00,3.179467259935453427e-03,3.522374698977426277e-03
1.530000000000000000e+02,8.853184532566500502e-04,8.884275648229855932e-04,2.677684666929559754e+00,2.680898085229043382e+00,3.213418299483628005e-03,3.511856727823392532e-03
1.540000000000000000e+02,8.776342439045742381e-04,8.807071041193855268e-04,2.675151249117767360e+00,2.678396833768907470e+00,3.245584651140109855e-03,3.501299358078968638e-03
1.550000000000000000e+02,8.700729705043783050e-04,8.731101419713547781e-04,2.672602834259402815e+00,2.675878795690607159e+00,3.275961431204343910e-03,3.490708905961925623e-03
1.560000000000000000e+02,8.626319246337194047e-04,8.656339627309754363e-04,2.670039734963353339e+00,2.673344279772746912e+00,3.304544809393572535e-03,3.480091579651123368e-03
1.570000000000000000e+02,8.553084736106607170e-04,8.582759265697915193e-04,2.667462257998514108e+00,2.670793589983603944e+00,3.331331985089835968e-03,3.469453478700756932e-03
1.580000000000000000e+02,8.481000579311540836e-04,8.510334669149255144e-04,2.664870704416137936e+00,2.668227025577026623e+00,3.356321160888686705e-03,3.458800593560962255e-03
1.590000000000000000e+02,8.410041888081647545e-04,8.439040879869249591e-04,2.662265369668393777e+00,2.665644881186394866e+00,3.379511518001088177e-03,3.448138805194123080e-03
1.600000000000000000e+02,8.340184458078205194e-04,8.368853624347077826e-04,2.659646543725170620e+00,2.663047446915703720e+00,3.400903190533099973e-03,3.437473884777775268e-03
