sigma,P_mean,Ds_of_mean_P,mean_of_Ds
2.730000000000000000e+02,9.248559207770790753e-04,1.560397454199021094e+00,1.577040115749657634e+00
2.740000000000000000e+02,9.222230289864814107e-04,1.558501931430695153e+00,1.575110862823014823e+00
2.750000000000000000e+02,9.196103500767677718e-04,1.556615907888753814e+00,1.573191019044456684e+00
2.760000000000000000e+02,9.170176468047045283e-04,1.554739322753712072e+00,1.571280527112851377e+00
2.770000000000000000e+02,9.144446856015998404e-04,1.552872115585090640e+00,1.569379330042270260e+00
2.780000000000000000e+02,9.118912365032038085e-04,1.551014226320446721e+00,1.567487371162366472e+00
2.790000000000000000e+02,9.093570730811918832e-04,1.549165595274276441e+00,1.565604594118285453e+00
2.800000000000000000e+02,9.068419723761905532e-04,1.547326163137150212e+00,1.563730942870333429e+00
2.810000000000000000e+02,9.043457148323041104e-04,1.545495870975032160e+00,1.561866361694498773e+00
2.820000000000000000e+02,9.018680842331041128e-04,1.543674660227990936e+00,1.560010795182167787e+00
2.830000000000000000e+02,8.994088676390452237e-04,1.541862472708879661e+00,1.558164188239643089e+00
2.840000000000000000e+02,8.969678553262693714e-04,1.540059250602535679e+00,1.556326486088298378e+00
2.850000000000000000e+02,8.945448407267623430e-04,1.538264936464743826e+00,1.554497634264388806e+00
2.860000000000000000e+02,8.921396203698293099e-04,1.536479473220840442e+00,1.552677578618542276e+00
2.870000000000000000e+02,8.897519938248557841e-04,1.534702804164260304e+00,1.550866265315198778e+00
