k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,2.160000000000000000e+02,4.623825210951672390e-04,2.881751403984240234e+00,2.882315173295908917e+00
5.000000000000000000e-01,2.170000000000000000e+02,4.593162211017011074e-04,2.880443538126159719e+00,2.881013855024172621e+00
5.000000000000000000e-01,2.180000000000000000e+02,4.562855881871998595e-04,2.879128622533937865e+00,2.879705489054511069e+00
5.000000000000000000e-01,2.190000000000000000e+02,4.532900518494098214e-04,2.877806747055185799e+00,2.878390164318190614e+00
5.000000000000000000e-01,2.200000000000000000e+02,4.503290531662627514e-04,2.876478000424576909e+00,2.877067968646451313e+00
5.000000000000000000e-01,2.210000000000000000e+02,4.474020445112971648e-04,2.875142470279551166e+00,2.875738988786047834e+00
5.000000000000000000e-01,2.220000000000000000e+02,4.445084892772838700e-04,2.873800243176878322e+00,2.874403310415394763e+00
5.000000000000000000e-01,2.230000000000000000e+02,4.416478616077870517e-04,2.872451404608110881e+00,2.873061018160371294e+00
5.000000000000000000e-01,2.240000000000000000e+02,4.388196461363984150e-04,2.871096039015361701e+00,2.871712195609694707e+00
5.000000000000000000e-01,2.250000000000000000e+02,4.360233377333926942e-04,2.869734229805808834e+00,2.870356925329376363e+00
5.000000000000000000e-01,2.260000000000000000e+02,4.332584412595642115e-04,2.868366059366623144e+00,2.868995288877607130e+00
5.000000000000000000e-01,2.270000000000000000e+02,4.305244713270076420e-04,2.866991609079801329e+00,2.867627366819176959e+00
5.000000000000000000e-01,2.280000000000000000e+02,4.278209520666212667e-04,2.865610959335187502e+00,2.866253238738933007e+00
5.000000000000000000e-01,2.290000000000000000e+02,4.251474169021158709e-04,2.864224189545498955e+00,2.864872983256310679e+00
